sss2019-07-10 09:46:37,922 [22] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:17:58,023 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:17:58,042 [57] INFO  SessionModule SESSION -> Using
2019-07-10 10:17:58,053 [57] INFO  WSFedModule FED2 -> Using
2019-07-10 10:17:58,047 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:17:58,071 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:17:58,056 [64] INFO  SessionModule SESSION -> Using
2019-07-10 10:17:58,088 [64] INFO  WSFedModule FED2 -> Using
2019-07-10 10:17:58,080 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:17:58,062 [63] INFO  SessionModule SESSION -> Using
2019-07-10 10:17:58,113 [63] INFO  WSFedModule FED2 -> Using
2019-07-10 10:17:58,095 [64] INFO  WSFedModule FED -> Using
2019-07-10 10:17:58,074 [57] INFO  WSFedModule FED -> Using
2019-07-10 10:17:58,150 [63] INFO  WSFedModule FED -> Using
2019-07-10 10:18:03,422 [64] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:03,425 [64] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:03,426 [64] INFO  WSFedModule FED -> Using
2019-07-10 10:18:03,595 [50] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:03,596 [50] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:03,597 [50] INFO  WSFedModule FED -> Using
2019-07-10 10:18:03,645 [59] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:03,646 [59] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:03,649 [59] INFO  WSFedModule FED -> Using
2019-07-10 10:18:03,707 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:03,709 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:03,711 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:18:03,761 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:03,762 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:03,763 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:18:03,812 [57] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:03,813 [57] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:03,816 [57] INFO  WSFedModule FED -> Using
2019-07-10 10:18:03,861 [63] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:03,862 [63] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:03,863 [63] INFO  WSFedModule FED -> Using
2019-07-10 10:18:55,571 [57] INFO  SessionModule SESSION -> Using
2019-07-10 10:18:55,573 [57] INFO  WSFedModule FED2 -> Using
2019-07-10 10:18:55,574 [57] INFO  WSFedModule FED -> Using
2019-07-10 10:19:17,089 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:17,090 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:17,099 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:19:36,863 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:36,864 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:36,870 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:19:36,886 [64] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:36,888 [64] INFO  WSFedModule FED2 -> Using
2019-07-10 10:19:36,887 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:19:36,887 [65] INFO  SessionModule SESSION -> Using
